action_id,case_id,order_id,action_type,action_status,details,created_at
ACT0001,CASE0001,ORD5001,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-07-11
ACT0002,CASE0002,ORD5002,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-07-12
ACT0003,CASE0003,ORD5003,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-07-13
ACT0004,CASE0004,ORD5004,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-07-14
ACT0005,CASE0005,ORD5005,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-07-15
ACT0006,CASE0006,ORD5006,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-07-16
ACT0007,CASE0007,ORD5007,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-07-17
ACT0008,CASE0008,ORD5008,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-07-18
ACT0009,CASE0009,ORD5009,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-07-19
ACT0010,CASE0010,ORD5010,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-07-20
ACT0011,CASE0011,ORD5011,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-07-21
ACT0012,CASE0012,ORD5012,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-07-22
ACT0013,CASE0013,ORD5013,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-07-23
ACT0014,CASE0014,ORD5014,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-07-24
ACT0015,CASE0015,ORD5015,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-07-25
ACT0016,CASE0016,ORD5016,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-07-26
ACT0017,CASE0017,ORD5017,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-07-27
ACT0018,CASE0018,ORD5018,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-07-28
ACT0019,CASE0019,ORD5019,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-07-29
ACT0020,CASE0020,ORD5020,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-07-30
ACT0021,CASE0021,ORD5021,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-07-31
ACT0022,CASE0022,ORD5022,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-08-01
ACT0023,CASE0023,ORD5023,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-08-02
ACT0024,CASE0024,ORD5024,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-08-03
ACT0025,CASE0025,ORD5025,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-08-04
ACT0026,CASE0026,ORD5026,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-08-05
ACT0027,CASE0027,ORD5027,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-08-06
ACT0028,CASE0028,ORD5028,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-08-07
ACT0029,CASE0029,ORD5029,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-08-08
ACT0030,CASE0030,ORD5030,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-08-09
ACT0031,CASE0031,ORD5031,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-08-10
ACT0032,CASE0032,ORD5032,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-08-11
ACT0033,CASE0033,ORD5033,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-08-12
ACT0034,CASE0034,ORD5034,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-08-13
ACT0035,CASE0035,ORD5035,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-08-14
ACT0036,CASE0036,ORD5036,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-08-15
ACT0037,CASE0037,ORD5037,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-08-16
ACT0038,CASE0038,ORD5038,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-08-17
ACT0039,CASE0039,ORD5039,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-08-18
ACT0040,CASE0040,ORD5040,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-08-19
ACT0041,CASE0041,ORD5041,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-08-20
ACT0042,CASE0042,ORD5042,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-08-21
ACT0043,CASE0043,ORD5043,EVIDENCE_REVIEW,COMPLETED,Evidence reviewed or awaiting review,2026-08-22
ACT0044,CASE0044,ORD5044,HITL_REVIEW,COMPLETED,Human review requested for sensitive decision,2026-08-23
ACT0045,CASE0045,ORD5045,RESOLUTION_UPDATE,PENDING,VOUCHER resolution status updated,2026-08-24
ACT0046,CASE0046,ORD5046,COMPLAINT_CREATED,COMPLETED,Complaint registered successfully,2026-08-25
ACT0047,CASE0047,ORD5047,DEPARTMENT_ASSIGNMENT,COMPLETED,Assigned to Returns department,2026-08-26
