order_id,customer_id,customer_name,product_id,product_name,category,quantity,order_amount,order_date,delivery_date,order_status,delivery_status,payment_method
ORD5001,CUST001,Customer 001,P101,Dell Inspiron 15,Laptop,1,57999,2026-07-02,2026-07-06,COMPLETED,DELIVERED,CREDIT_CARD
ORD5002,CUST002,Customer 002,P102,HP Pavilion 14,Laptop,1,64999,2026-07-03,2026-07-08,COMPLETED,DELIVERED,DEBIT_CARD
ORD5003,CUST003,Customer 003,P103,Samsung Galaxy A55,Mobile,1,38999,2026-07-04,2026-07-10,COMPLETED,DELIVERED,COD
ORD5004,CUST004,Customer 004,P104,Sony WH-1000XM5,Headphones,1,29990,2026-07-05,2026-07-08,COMPLETED,DELIVERED,UPI
ORD5005,CUST005,Customer 005,P105,Apple iPad 10th Gen,Tablet,1,34900,2026-07-06,2026-07-10,COMPLETED,DELIVERED,CREDIT_CARD
ORD5006,CUST006,Customer 006,P106,Logitech MX Master 3S,Mouse,1,9995,2026-07-07,2026-07-12,COMPLETED,DELIVERED,DEBIT_CARD
ORD5007,CUST007,Customer 007,P107,Nike Air Max,Footwear,1,8995,2026-07-08,2026-07-14,COMPLETED,DELIVERED,COD
ORD5008,CUST008,Customer 008,P108,Puma Running Shoes,Footwear,1,5499,2026-07-09,2026-07-12,COMPLETED,DELIVERED,UPI
ORD5009,CUST009,Customer 009,P109,Levis 511 Jeans,Clothing,1,3299,2026-07-10,,SHIPPED,IN_TRANSIT,CREDIT_CARD
ORD5010,CUST010,Customer 010,P110,American Tourister Bag,Luggage,1,4999,2026-07-11,2026-07-16,COMPLETED,DELIVERED,DEBIT_CARD
ORD5011,CUST011,Customer 011,P101,Dell Inspiron 15,Laptop,1,57999,2026-07-12,2026-07-18,COMPLETED,DELIVERED,COD
ORD5012,CUST012,Customer 012,P102,HP Pavilion 14,Laptop,1,64999,2026-07-13,2026-07-16,COMPLETED,DELIVERED,UPI
ORD5013,CUST013,Customer 013,P103,Samsung Galaxy A55,Mobile,1,38999,2026-07-14,2026-07-18,COMPLETED,DELIVERED,CREDIT_CARD
ORD5014,CUST014,Customer 014,P104,Sony WH-1000XM5,Headphones,1,29990,2026-07-15,2026-07-20,COMPLETED,DELIVERED,DEBIT_CARD
ORD5015,CUST015,Customer 015,P105,Apple iPad 10th Gen,Tablet,1,34900,2026-07-16,2026-07-22,COMPLETED,DELIVERED,COD
ORD5016,CUST016,Customer 016,P106,Logitech MX Master 3S,Mouse,1,9995,2026-07-17,2026-07-20,COMPLETED,DELIVERED,UPI
ORD5017,CUST017,Customer 017,P107,Nike Air Max,Footwear,1,8995,2026-07-18,2026-07-22,COMPLETED,DELIVERED,CREDIT_CARD
ORD5018,CUST018,Customer 018,P108,Puma Running Shoes,Footwear,1,5499,2026-07-19,,SHIPPED,IN_TRANSIT,DEBIT_CARD
ORD5019,CUST019,Customer 019,P109,Levis 511 Jeans,Clothing,1,3299,2026-07-20,2026-07-26,COMPLETED,DELIVERED,COD
ORD5020,CUST020,Customer 020,P110,American Tourister Bag,Luggage,1,4999,2026-07-21,2026-07-24,COMPLETED,DELIVERED,UPI
ORD5021,CUST021,Customer 021,P101,Dell Inspiron 15,Laptop,1,57999,2026-07-22,2026-07-26,COMPLETED,DELIVERED,CREDIT_CARD
ORD5022,CUST022,Customer 022,P102,HP Pavilion 14,Laptop,1,64999,2026-07-23,2026-07-28,COMPLETED,DELIVERED,DEBIT_CARD
ORD5023,CUST023,Customer 023,P103,Samsung Galaxy A55,Mobile,1,38999,2026-07-24,2026-07-30,COMPLETED,DELIVERED,COD
ORD5024,CUST024,Customer 024,P104,Sony WH-1000XM5,Headphones,1,29990,2026-07-25,2026-07-28,COMPLETED,DELIVERED,UPI
ORD5025,CUST025,Customer 025,P105,Apple iPad 10th Gen,Tablet,1,34900,2026-07-26,2026-07-30,COMPLETED,DELIVERED,CREDIT_CARD
ORD5026,CUST026,Customer 026,P106,Logitech MX Master 3S,Mouse,1,9995,2026-07-27,2026-08-01,COMPLETED,DELIVERED,DEBIT_CARD
ORD5027,CUST027,Customer 027,P107,Nike Air Max,Footwear,1,8995,2026-07-28,,SHIPPED,IN_TRANSIT,COD
ORD5028,CUST028,Customer 028,P108,Puma Running Shoes,Footwear,1,5499,2026-07-29,2026-08-01,COMPLETED,DELIVERED,UPI
ORD5029,CUST029,Customer 029,P109,Levis 511 Jeans,Clothing,1,3299,2026-07-30,2026-08-03,COMPLETED,DELIVERED,CREDIT_CARD
ORD5030,CUST030,Customer 030,P110,American Tourister Bag,Luggage,1,4999,2026-07-31,2026-08-05,COMPLETED,DELIVERED,DEBIT_CARD
ORD5031,CUST031,Customer 031,P101,Dell Inspiron 15,Laptop,1,57999,2026-08-01,2026-08-07,COMPLETED,DELIVERED,COD
ORD5032,CUST032,Customer 032,P102,HP Pavilion 14,Laptop,1,64999,2026-08-02,2026-08-05,COMPLETED,DELIVERED,UPI
ORD5033,CUST033,Customer 033,P103,Samsung Galaxy A55,Mobile,1,38999,2026-08-03,2026-08-07,COMPLETED,DELIVERED,CREDIT_CARD
ORD5034,CUST034,Customer 034,P104,Sony WH-1000XM5,Headphones,1,29990,2026-08-04,2026-08-09,COMPLETED,DELIVERED,DEBIT_CARD
ORD5035,CUST035,Customer 035,P105,Apple iPad 10th Gen,Tablet,1,34900,2026-08-05,2026-08-11,COMPLETED,DELIVERED,COD
ORD5036,CUST001,Customer 001,P106,Logitech MX Master 3S,Mouse,1,9995,2026-08-06,,SHIPPED,IN_TRANSIT,UPI
ORD5037,CUST002,Customer 002,P107,Nike Air Max,Footwear,1,8995,2026-08-07,2026-08-11,COMPLETED,DELIVERED,CREDIT_CARD
ORD5038,CUST003,Customer 003,P108,Puma Running Shoes,Footwear,1,5499,2026-08-08,2026-08-13,COMPLETED,DELIVERED,DEBIT_CARD
ORD5039,CUST004,Customer 004,P109,Levis 511 Jeans,Clothing,1,3299,2026-08-09,2026-08-15,COMPLETED,DELIVERED,COD
ORD5040,CUST005,Customer 005,P110,American Tourister Bag,Luggage,1,4999,2026-08-10,2026-08-13,COMPLETED,DELIVERED,UPI
ORD5041,CUST006,Customer 006,P101,Dell Inspiron 15,Laptop,1,57999,2026-08-11,2026-08-15,COMPLETED,DELIVERED,CREDIT_CARD
ORD5042,CUST007,Customer 007,P102,HP Pavilion 14,Laptop,1,64999,2026-08-12,2026-08-17,COMPLETED,DELIVERED,DEBIT_CARD
ORD5043,CUST008,Customer 008,P103,Samsung Galaxy A55,Mobile,1,38999,2026-08-13,2026-08-19,COMPLETED,DELIVERED,COD
ORD5044,CUST009,Customer 009,P104,Sony WH-1000XM5,Headphones,1,29990,2026-08-14,2026-08-17,COMPLETED,DELIVERED,UPI
ORD5045,CUST010,Customer 010,P105,Apple iPad 10th Gen,Tablet,1,34900,2026-08-15,,SHIPPED,IN_TRANSIT,CREDIT_CARD
ORD5046,CUST011,Customer 011,P106,Logitech MX Master 3S,Mouse,1,9995,2026-08-16,2026-08-21,COMPLETED,DELIVERED,DEBIT_CARD
ORD5047,CUST012,Customer 012,P107,Nike Air Max,Footwear,1,8995,2026-08-17,2026-08-23,COMPLETED,DELIVERED,COD
ORD5048,CUST013,Customer 013,P108,Puma Running Shoes,Footwear,1,5499,2026-08-18,2026-08-21,COMPLETED,DELIVERED,UPI
ORD5049,CUST014,Customer 014,P109,Levis 511 Jeans,Clothing,1,3299,2026-08-19,2026-08-23,COMPLETED,DELIVERED,CREDIT_CARD
ORD5050,CUST015,Customer 015,P110,American Tourister Bag,Luggage,1,4999,2026-08-20,2026-08-25,COMPLETED,DELIVERED,DEBIT_CARD
